#Query	Hit	E-value	Identity	Score	Query-start	Query-end	Hit-start	Hit-end	Hit-length	description	class	class description
comp26635_c0_seq1_FPKM_all:3.109_FPKM_rel:3.109_len:780_path:[0	PRK06333	1e-22	28	101	4	234	151	383	424	3-oxoacyl-(acyl carrier protein) synthase II	X	Multifunctional
comp29506_c0_seq1_FPKM_all:2.646_FPKM_rel:2.646_len:1239_path:[	PRK08317	4e-16	39	80.8	80	191	8	117	241	hypothetical protein	H	Coenzyme transport and metabolism
comp28949_c0_seq1_FPKM_all:2.649_FPKM_rel:2.649_len:722_path:[0	PRK08655	3e-15	26	77.0	68	239	1	167	437	prephenate dehydrogenase	X	Multifunctional
comp16699_c0_seq2_FPKM_all:4.056_FPKM_rel:3.85_len:1162_path:[1	PRK15484	1e-04	25	42.5	126	289	191	347	380	lipopolysaccharide 1,2-N-acetylglucosaminetransferase	M	Cell wall/membrane/envelope biogenesis
comp16972_c0_seq1_FPKM_all:5.785_FPKM_rel:5.785_len:431_path:[0	PRK13184	7e-05	24	41.3	65	135	112	201	932	serine/threonine-protein kinase	X	Multifunctional
comp17973_c0_seq1_FPKM_all:5.78_FPKM_rel:5.78_len:585_path:[0].	PRK09257	1e-39	44	156	1	122	274	394	396	aromatic amino acid aminotransferase	E	Amino acid transport and metabolism
comp117_c0_seq1_FPKM_all:522.795_FPKM_rel:522.795_len:3350_path	PRK09328	2e-07	33	52.9	355	427	100	179	275	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase	J	Translation, ribosomal structure and biogenesis
comp1392_c0_seq1_FPKM_all:183.847_FPKM_rel:183.847_len:653_path	PRK08183	4e-19	39	89.7	51	137	26	109	133	NADH dehydrogenase	C	Energy production and conversion
comp45_c0_seq1_FPKM_all:1680.681_FPKM_rel:1680.681_len:1468_pat	PRK08643	9e-69	43	255	20	276	2	256	256	acetoin reductase	X	Multifunctional
comp1190_c0_seq1_FPKM_all:59.256_FPKM_rel:59.256_len:4271_path:	PRK10333	3e-06	28	47.6	134	270	28	141	182	5-formyltetrahydrofolate cyclo-ligase family protein	H	Coenzyme transport and metabolism
comp214_c0_seq1_FPKM_all:437.652_FPKM_rel:386.909_len:2236_path	PRK06208	4e-97	46	350	230	513	1	268	274	hypothetical protein	G	Carbohydrate transport and metabolism
comp605_c0_seq1_FPKM_all:129.507_FPKM_rel:129.507_len:2176_path	PRK00982	1e-17	56	84.1	75	132	19	76	78	acyl carrier protein	X	Multifunctional
comp531_c0_seq1_FPKM_all:327.061_FPKM_rel:327.061_len:1941_path	PRK09257	1e-139	47	488	11	410	3	395	396	aromatic amino acid aminotransferase	E	Amino acid transport and metabolism
comp658_c0_seq1_FPKM_all:366_FPKM_rel:366_len:1032_path:[0].1	PRK06369	7e-08	38	52.6	220	273	63	113	115	nascent polypeptide-associated complex protein	K	Transcription
comp1587_c0_seq2_FPKM_all:132.738_FPKM_rel:77.754_len:1884_path	PRK08724	3e-04	24	41.8	206	428	204	425	673	flagellar capping protein	N	Cell motility
comp252_c0_seq1_FPKM_all:463.39_FPKM_rel:463.39_len:2650_path:[	PRK05899	0.0	49	899	125	781	5	620	624	transketolase	G	Carbohydrate transport and metabolism
comp1311_c0_seq1_FPKM_all:175.248_FPKM_rel:175.248_len:2022_pat	PRK03893	2e-17	19	85.9	63	414	13	411	496	putative sialic acid transporter	G	Carbohydrate transport and metabolism
comp802_c0_seq7_FPKM_all:184.37_FPKM_rel:25.902_len:3667_path:[	PRK10263	3e-06	19	49.7	430	610	378	537	1355	DNA translocase FtsK	D	Cell cycle control, cell division, chromosome partitioning
comp1338_c0_seq2_FPKM_all:110.956_FPKM_rel:55.662_len:3527_path	PRK03918	4e-08	22	55.8	740	929	211	390	880	chromosome segregation protein	L	Replication, recombination and repair
comp8568_c0_seq4_FPKM_all:14.036_FPKM_rel:3.718_len:3482_path:[	PRK09521	7e-17	26	82.3	25	230	6	181	189	exosome complex RNA-binding protein Csl4	J	Translation, ribosomal structure and biogenesis
comp9273_c0_seq2_FPKM_all:12.295_FPKM_rel:12.252_len:4767_path:	PRK08566	0.0	44	785	251	956	170	870	882	DNA-directed RNA polymerase subunit A'	K	Transcription
comp9273_c0_seq2_FPKM_all:12.295_FPKM_rel:12.252_len:4767_path:	PRK04309	2e-67	32	253	1081	1456	33	372	383	DNA-directed RNA polymerase subunit A''	K	Transcription
comp8027_c0_seq1_FPKM_all:21.884_FPKM_rel:21.884_len:373_path:[	PRK13771	1e-18	36	86.2	10	103	2	95	334	putative alcohol dehydrogenase	R	General function prediction only
comp33885_c0_seq1_FPKM_all:2.075_FPKM_rel:2.075_len:428_path:[0	PRK04011	3e-23	33	102	3	137	241	373	411	peptide chain release factor 1	J	Translation, ribosomal structure and biogenesis
comp36550_c0_seq1_FPKM_all:2.213_FPKM_rel:2.213_len:355_path:[0	PRK13184	9e-08	28	50.2	5	92	134	236	932	serine/threonine-protein kinase	X	Multifunctional
comp24044_c0_seq1_FPKM_all:3.475_FPKM_rel:3.475_len:462_path:[6	PRK14902	3e-22	30	99.1	3	153	294	432	444	16S rRNA methyltransferase B	J	Translation, ribosomal structure and biogenesis
comp25269_c0_seq1_FPKM_all:2.949_FPKM_rel:1.903_len:359_path:[0	PRK00528	2e-11	37	61.9	1	61	8	71	71	50S ribosomal protein L31	J	Translation, ribosomal structure and biogenesis
comp35383_c0_seq1_FPKM_all:1.47_FPKM_rel:1.47_len:302_path:[0].	PRK05480	4e-33	49	134	3	99	50	142	209	uridine/cytidine kinase	F	Nucleotide transport and metabolism
comp10809_c0_seq1_FPKM_all:13.26_FPKM_rel:13.26_len:2094_path:[	PRK05337	4e-47	34	184	58	372	26	315	337	beta-hexosaminidase	G	Carbohydrate transport and metabolism
comp10337_c0_seq4_FPKM_all:4.394_FPKM_rel:2.392_len:614_path:[0	PRK02627	8e-31	46	128	118	203	1	86	396	acetylornithine aminotransferase	E	Amino acid transport and metabolism
comp10974_c0_seq1_FPKM_all:7.723_FPKM_rel:6.093_len:398_path:[7	PRK01018	1e-13	58	69.6	5	54	47	96	99	50S ribosomal protein L30e	J	Translation, ribosomal structure and biogenesis
comp10213_c0_seq1_FPKM_all:11.508_FPKM_rel:11.508_len:1947_path	PRK05852	1e-114	37	406	35	538	18	530	534	acyl-CoA synthetase	X	Multifunctional
comp10865_c0_seq1_FPKM_all:11.124_FPKM_rel:6.224_len:1136_path:	PRK10754	2e-05	31	45.1	135	237	23	120	327	quinone oxidoreductase, NADPH-dependent	X	Multifunctional
comp11962_c0_seq3_FPKM_all:6.691_FPKM_rel:2.649_len:490_path:[0	PRK00702	4e-13	32	67.8	3	78	149	219	220	ribose-5-phosphate isomerase A	G	Carbohydrate transport and metabolism
comp11184_c0_seq1_FPKM_all:5.926_FPKM_rel:3.232_len:317_path:[2	PRK09616	3e-18	41	84.9	4	90	265	346	552	phenylalanyl-tRNA synthetase subunit beta	J	Translation, ribosomal structure and biogenesis
comp6313_c0_seq1_FPKM_all:28.293_FPKM_rel:28.293_len:1853_path:	PRK07546	2e-15	29	78.9	27	266	12	193	209	hypothetical protein	X	Multifunctional
comp6745_c0_seq4_FPKM_all:16.915_FPKM_rel:13.351_len:527_path:[	PRK01747	2e-04	35	40.6	87	148	260	311	662	bifunctional tRNA (mnm(5)s(2)U34)-methyltransferase/FAD-dependent cmnm(5)s(2)U34 oxidoreductase	X	Multifunctional
comp7722_c0_seq4_FPKM_all:25.824_FPKM_rel:14.162_len:820_path:[	PRK00571	1e-16	32	81.7	90	206	4	119	135	F0F1 ATP synthase subunit epsilon	C	Energy production and conversion
comp7334_c0_seq2_FPKM_all:28.247_FPKM_rel:28.247_len:1058_path:	PRK05901	2e-05	31	45.4	187	256	107	176	509	RNA polymerase sigma factor	K	Transcription
comp7182_c0_seq1_FPKM_all:33.132_FPKM_rel:16.862_len:1270_path:	PRK05855	2e-17	23	85.4	47	364	23	293	582	short chain dehydrogenase	R	General function prediction only
comp7263_c0_seq3_FPKM_all:12.137_FPKM_rel:4.511_len:318_path:[3	PRK05722	2e-10	44	58.6	32	80	10	58	495	glucose-6-phosphate 1-dehydrogenase	G	Carbohydrate transport and metabolism
comp5552_c0_seq4_FPKM_all:2.984_FPKM_rel:2.984_len:412_path:[27	PRK08318	8e-11	43	60.3	53	115	3	63	420	dihydropyrimidine dehydrogenase subunit B	F	Nucleotide transport and metabolism
comp4168_c0_seq1_FPKM_all:30.536_FPKM_rel:15.957_len:3521_path:	PRK06213	2e-08	30	54.6	132	253	48	170	229	enoyl-CoA hydratase	I	Lipid transport and metabolism
comp4764_c0_seq3_FPKM_all:34.13_FPKM_rel:8.703_len:2755_path:[0	PRK06718	2e-19	28	92.4	201	367	8	171	202	precorrin-2 dehydrogenase	H	Coenzyme transport and metabolism
comp5325_c0_seq1_FPKM_all:34.903_FPKM_rel:34.903_len:2234_path:	PRK13581	0.0	46	652	109	650	1	526	526	D-3-phosphoglycerate dehydrogenase	X	Multifunctional
comp14712_c0_seq1_FPKM_all:5.131_FPKM_rel:5.131_len:1551_path:[	PRK10888	6e-40	33	160	142	417	44	306	323	octaprenyl diphosphate synthase	H	Coenzyme transport and metabolism
comp14081_c0_seq1_FPKM_all:6.007_FPKM_rel:6.007_len:995_path:[0	PRK14875	2e-12	24	68.0	22	273	119	362	371	acetoin dehydrogenase E2 subunit dihydrolipoyllysine-residue acetyltransferase	X	Multifunctional
comp14536_c0_seq2_FPKM_all:5.85_FPKM_rel:3.415_len:2090_path:[0	PRK13184	6e-09	28	57.9	15	267	10	292	932	serine/threonine-protein kinase	X	Multifunctional
comp38527_c0_seq1_FPKM_all:1.432_FPKM_rel:1.432_len:310_path:[0	PRK05218	7e-20	40	90.2	1	87	128	213	613	heat shock protein 90	O	Posttranslational modification, protein turnover, chaperones
comp18128_c0_seq1_FPKM_all:4.772_FPKM_rel:3.204_len:501_path:[0	PRK13184	2e-06	36	46.7	27	76	189	236	932	serine/threonine-protein kinase	X	Multifunctional
comp19508_c0_seq1_FPKM_all:4.941_FPKM_rel:4.941_len:477_path:[0	PRK05693	4e-22	35	98.7	8	158	72	227	274	short chain dehydrogenase	R	General function prediction only
comp19707_c0_seq1_FPKM_all:4.897_FPKM_rel:3.057_len:2134_path:[	PRK14995	3e-07	25	52.4	187	377	27	212	495	methyl viologen resistance protein SmvA	G	Carbohydrate transport and metabolism
comp21500_c0_seq1_FPKM_all:3.324_FPKM_rel:3.324_len:750_path:[0	PRK13184	2e-06	28	47.8	47	138	124	231	932	serine/threonine-protein kinase	X	Multifunctional
comp12329_c0_seq3_FPKM_all:10.673_FPKM_rel:8.048_len:1184_path:	PRK00013	1e-109	56	391	1	276	267	540	542	chaperonin GroEL	O	Posttranslational modification, protein turnover, chaperones
comp13570_c0_seq3_FPKM_all:5.073_FPKM_rel:2.644_len:478_path:[4	PRK13184	1e-06	28	47.1	4	82	132	226	932	serine/threonine-protein kinase	X	Multifunctional
comp12334_c0_seq2_FPKM_all:8.527_FPKM_rel:4.443_len:1522_path:[	PRK13771	1e-26	24	115	21	384	2	326	334	putative alcohol dehydrogenase	R	General function prediction only
comp12441_c0_seq2_FPKM_all:7.833_FPKM_rel:6.522_len:1016_path:[	PRK09287	1e-129	59	454	1	268	197	457	459	6-phosphogluconate dehydrogenase	G	Carbohydrate transport and metabolism
comp12377_c0_seq1_FPKM_all:9.984_FPKM_rel:7.044_len:1731_path:[	PRK12878	3e-66	41	247	135	413	17	286	314	4-hydroxybenzoate polyprenyltransferase	H	Coenzyme transport and metabolism
comp31583_c0_seq1_FPKM_all:2.155_FPKM_rel:2.155_len:317_path:[0	PRK12467	3e-15	35	74.8	9	103	515	600	3956	peptide synthase	Q	Secondary metabolites biosynthesis, transport and catabolism
comp31326_c0_seq1_FPKM_all:2.44_FPKM_rel:2.44_len:350_path:[0].	PRK00216	4e-33	46	134	35	116	14	95	239	ubiquinone/menaquinone biosynthesis methyltransferase	H	Coenzyme transport and metabolism
comp2736_c1_seq5_FPKM_all:29.826_FPKM_rel:7.275_len:2770_path:[	PRK06953	3e-21	31	96.7	6	250	4	222	222	short chain dehydrogenase	X	Multifunctional
comp2534_c0_seq1_FPKM_all:85.682_FPKM_rel:85.682_len:2251_path:	PRK14012	0.0	60	708	165	561	4	399	404	cysteine desulfurase	E	Amino acid transport and metabolism
comp2223_c0_seq2_FPKM_all:83.931_FPKM_rel:66.425_len:1596_path:	PRK09454	5e-07	37	51.1	164	217	8	61	249	cytoplasmic glycerophosphodiester phosphodiesterase	C	Energy production and conversion
comp2216_c0_seq4_FPKM_all:41.949_FPKM_rel:41.933_len:2055_path:	PRK10263	2e-04	14	42.4	8	173	340	504	1355	DNA translocase FtsK	D	Cell cycle control, cell division, chromosome partitioning
comp3608_c0_seq1_FPKM_all:59.019_FPKM_rel:59.019_len:2434_path:	PRK10717	4e-92	42	334	99	424	4	329	330	cysteine synthase A	E	Amino acid transport and metabolism
comp3608_c0_seq1_FPKM_all:59.019_FPKM_rel:59.019_len:2434_path:	PRK14869	7e-04	33	41.0	449	504	68	122	546	putative manganese-dependent inorganic pyrophosphatase	C	Energy production and conversion
comp2120_c0_seq1_FPKM_all:114.866_FPKM_rel:110.039_len:559_path	PRK06057	4e-20	43	91.7	1	102	153	249	255	short chain dehydrogenase	X	Multifunctional
comp27663_c0_seq1_FPKM_all:2.715_FPKM_rel:2.715_len:541_path:[0	PRK10767	3e-11	42	62.9	109	155	17	62	371	chaperone protein DnaJ	O	Posttranslational modification, protein turnover, chaperones
comp27816_c0_seq1_FPKM_all:2.732_FPKM_rel:2.732_len:375_path:[0	PRK10903	1e-08	38	52.5	7	88	98	183	190	peptidyl-prolyl cis-trans isomerase A (rotamase A)	O	Posttranslational modification, protein turnover, chaperones
comp27884_c0_seq1_FPKM_all:2.12_FPKM_rel:2.12_len:451_path:[0].	PRK13412	2e-22	33	99.5	1	146	639	797	974	bifunctional fucokinase/L-fucose-1-P-guanylyltransferase	R	General function prediction only
comp27731_c0_seq1_FPKM_all:2.79_FPKM_rel:2.79_len:355_path:[0].	PRK14131	5e-04	32	37.7	14	80	75	149	376	N-acetylneuraminic acid mutarotase	S	Function unknown
comp28861_c0_seq3_FPKM_all:2.475_FPKM_rel:1.839_len:483_path:[0	PRK14291	1e-04	28	40.1	30	126	111	220	382	chaperone protein DnaJ	O	Posttranslational modification, protein turnover, chaperones
comp29578_c0_seq1_FPKM_all:2.412_FPKM_rel:2.412_len:354_path:[0	PRK00102	2e-10	31	58.6	25	117	113	212	229	ribonuclease III	K	Transcription
comp17478_c0_seq2_FPKM_all:5.715_FPKM_rel:3.946_len:502_path:[0	PRK11198	2e-04	34	38.7	62	107	96	147	147	LysM domain/BON superfamily protein	S	Function unknown
comp16747_c0_seq2_FPKM_all:4.825_FPKM_rel:1.911_len:715_path:[1	PRK10929	1e-05	30	44.3	21	86	239	305	1109	putative mechanosensitive channel protein	M	Cell wall/membrane/envelope biogenesis
comp16155_c0_seq2_FPKM_all:4.347_FPKM_rel:4.161_len:550_path:[0	PRK09287	2e-62	51	232	16	171	1	154	459	6-phosphogluconate dehydrogenase	G	Carbohydrate transport and metabolism
comp17415_c0_seq1_FPKM_all:5.488_FPKM_rel:5.488_len:1195_path:[	PRK13184	3e-17	25	84.8	83	382	1	321	932	serine/threonine-protein kinase	X	Multifunctional
comp22081_c0_seq1_FPKM_all:4.052_FPKM_rel:4.052_len:1003_path:[	PRK10241	1e-43	35	171	47	283	1	228	251	hydroxyacylglutathione hydrolase	R	General function prediction only
comp23085_c0_seq2_FPKM_all:3.94_FPKM_rel:3.07_len:1335_path:[0,	PRK10504	7e-12	24	66.7	90	294	20	214	471	putative transporter	G	Carbohydrate transport and metabolism
comp97_c0_seq1_FPKM_all:1311.069_FPKM_rel:1311.069_len:1032_pat	PRK03767	5e-64	50	239	55	245	1	189	200	NAD(P)H:quinone oxidoreductase	R	General function prediction only
comp419_c0_seq1_FPKM_all:565.128_FPKM_rel:308.489_len:745_path:	PRK04034	2e-46	50	180	6	129	7	130	130	30S ribosomal protein S8P	J	Translation, ribosomal structure and biogenesis
comp1960_c0_seq1_FPKM_all:81.133_FPKM_rel:81.133_len:4642_path:	PRK13184	1e-09	23	61.3	336	610	1	248	932	serine/threonine-protein kinase	X	Multifunctional
comp1154_c0_seq2_FPKM_all:182.785_FPKM_rel:92.516_len:3207_path	PRK05678	3e-32	31	135	95	355	45	291	291	succinyl-CoA synthetase subunit alpha	C	Energy production and conversion
comp1154_c0_seq2_FPKM_all:182.785_FPKM_rel:92.516_len:3207_path	PRK06224	2e-24	28	109	385	647	3	257	263	citrate synthase	C	Energy production and conversion
comp541_c0_seq3_FPKM_all:385.948_FPKM_rel:101.982_len:2629_path	PRK13184	1e-11	24	67.1	130	380	3	261	932	serine/threonine-protein kinase	X	Multifunctional
comp1729_c0_seq1_FPKM_all:123.733_FPKM_rel:62.102_len:3340_path	PRK00685	7e-06	21	47.5	286	591	4	228	228	metal-dependent hydrolase	R	General function prediction only
comp750_c0_seq3_FPKM_all:315.589_FPKM_rel:315.589_len:2320_path	PRK10953	9e-55	26	210	40	689	38	584	600	sulfite reductase subunit alpha	P	Inorganic ion transport and metabolism
comp1409_c0_seq1_FPKM_all:166.344_FPKM_rel:166.344_len:1350_pat	PRK06949	9e-04	42	39.7	1	59	21	78	258	short chain dehydrogenase	X	Multifunctional
comp9365_c0_seq2_FPKM_all:13.892_FPKM_rel:13.892_len:1040_path:	PRK05354	1e-23	34	105	1	132	506	631	634	arginine decarboxylase	E	Amino acid transport and metabolism
comp8201_c0_seq6_FPKM_all:16.218_FPKM_rel:10.858_len:497_path:[	PRK09495	6e-05	29	41.7	26	98	160	247	247	glutamine ABC transporter periplasmic protein	X	Multifunctional
comp8909_c0_seq1_FPKM_all:24.215_FPKM_rel:12.39_len:1268_path:[	PRK13771	4e-10	25	60.8	76	240	2	176	334	putative alcohol dehydrogenase	R	General function prediction only
comp32878_c0_seq1_FPKM_all:2.067_FPKM_rel:2.067_len:380_path:[0	PRK00102	5e-10	43	57.8	3	66	160	223	229	ribonuclease III	K	Transcription
comp37656_c0_seq1_FPKM_all:1.504_FPKM_rel:1.504_len:386_path:[0	PRK12316	1e-08	36	53.4	1	78	4362	4441	5163	peptide synthase	Q	Secondary metabolites biosynthesis, transport and catabolism
comp11203_c0_seq4_FPKM_all:10.86_FPKM_rel:6.366_len:456_path:[0	PRK04000	2e-10	39	59.1	1	53	359	411	411	translation initiation factor IF-2 subunit gamma	J	Translation, ribosomal structure and biogenesis
comp11519_c0_seq2_FPKM_all:9.597_FPKM_rel:4.858_len:1146_path:[	PRK11440	3e-06	28	47.4	141	290	39	186	188	putative hydrolase	Q	Secondary metabolites biosynthesis, transport and catabolism
comp11828_c0_seq2_FPKM_all:11.35_FPKM_rel:6.329_len:653_path:[0	PRK08671	2e-23	38	102	1	106	179	280	291	methionine aminopeptidase	J	Translation, ribosomal structure and biogenesis
comp10436_c0_seq3_FPKM_all:13.3_FPKM_rel:13.3_len:963_path:[652	PRK05355	6e-85	58	308	2	173	150	318	360	3-phosphoserine/phosphohydroxythreonine aminotransferase	X	Multifunctional
comp7619_c0_seq1_FPKM_all:21.299_FPKM_rel:21.299_len:2330_path:	PRK10077	3e-58	30	221	187	650	15	478	479	D-xylose transporter XylE	G	Carbohydrate transport and metabolism
comp6598_c0_seq1_FPKM_all:26.739_FPKM_rel:26.739_len:1787_path:	PRK11055	9e-74	35	272	3	332	9	340	342	galactose-1-epimerase	G	Carbohydrate transport and metabolism
comp6538_c0_seq1_FPKM_all:27.503_FPKM_rel:4.876_len:1674_path:[	PRK05035	3e-05	17	43.0	88	190	434	549	695	electron transport complex protein RnfC	C	Energy production and conversion
comp7013_c0_seq1_FPKM_all:32.61_FPKM_rel:16.176_len:1592_path:[	PRK11102	1e-21	27	99.2	102	273	2	172	377	bicyclomycin/multidrug efflux system	G	Carbohydrate transport and metabolism
comp6187_c0_seq4_FPKM_all:21.263_FPKM_rel:10.529_len:665_path:[	PRK04195	1e-05	35	44.9	118	174	13	72	482	replication factor C large subunit	L	Replication, recombination and repair
comp4217_c0_seq2_FPKM_all:28.911_FPKM_rel:28.875_len:964_path:[	PRK03926	5e-11	29	63.1	87	237	3	94	302	mevalonate kinase	I	Lipid transport and metabolism
comp4464_c0_seq2_FPKM_all:31.678_FPKM_rel:15.946_len:3020_path:	PRK12678	2e-04	17	41.8	51	298	19	230	672	transcription termination factor Rho	K	Transcription
comp5194_c0_seq3_FPKM_all:50.561_FPKM_rel:50.561_len:535_path:[	PRK03992	5e-26	48	110	1	82	305	387	389	proteasome-activating nucleotidase	O	Posttranslational modification, protein turnover, chaperones
comp4695_c0_seq4_FPKM_all:46.483_FPKM_rel:11.807_len:3208_path:	PRK12678	7e-11	16	64.9	164	418	64	286	672	transcription termination factor Rho	K	Transcription
comp5985_c0_seq1_FPKM_all:37.668_FPKM_rel:37.668_len:1847_path:	PRK10077	2e-46	26	181	77	535	17	473	479	D-xylose transporter XylE	G	Carbohydrate transport and metabolism
comp4015_c0_seq6_FPKM_all:21.884_FPKM_rel:11.904_len:373_path:[	PRK10217	5e-17	41	81.2	4	107	29	140	355	dTDP-glucose 4,6-dehydratase	M	Cell wall/membrane/envelope biogenesis
comp15526_c0_seq2_FPKM_all:6.356_FPKM_rel:3.326_len:1150_path:[	PRK05901	6e-04	22	40.4	233	314	110	192	509	RNA polymerase sigma factor	K	Transcription
comp15860_c0_seq1_FPKM_all:5.619_FPKM_rel:5.619_len:857_path:[0	PRK10671	2e-51	50	196	1	196	638	833	834	copper exporting ATPase	P	Inorganic ion transport and metabolism
comp14318_c0_seq2_FPKM_all:9.733_FPKM_rel:8.081_len:579_path:[7	PRK09335	1e-05	48	44.3	16	44	9	37	95	30S ribosomal protein S26e	J	Translation, ribosomal structure and biogenesis
comp15469_c0_seq1_FPKM_all:7.168_FPKM_rel:7.168_len:629_path:[0	PRK04282	4e-05	27	41.0	31	98	203	269	271	exosome complex RNA-binding protein Rrp42	J	Translation, ribosomal structure and biogenesis
comp14497_c0_seq1_FPKM_all:7.724_FPKM_rel:3.94_len:4369_path:[0	PRK11107	2e-73	45	273	980	1220	286	523	919	hybrid sensory histidine kinase BarA	T	Signal transduction mechanisms
comp14497_c0_seq1_FPKM_all:7.724_FPKM_rel:3.94_len:4369_path:[0	PRK11361	2e-09	30	60.6	1299	1430	7	123	457	acetoacetate metabolism regulatory protein AtoC	T	Signal transduction mechanisms
comp14837_c0_seq3_FPKM_all:3.772_FPKM_rel:1.955_len:996_path:[0	PRK06185	2e-15	28	78.0	48	213	8	173	407	hypothetical protein	X	Multifunctional
comp14114_c0_seq1_FPKM_all:9.277_FPKM_rel:9.277_len:832_path:[0	PRK14276	8e-18	56	85.1	70	133	6	66	380	chaperone protein DnaJ	O	Posttranslational modification, protein turnover, chaperones
comp19387_c0_seq1_FPKM_all:5.594_FPKM_rel:5.594_len:348_path:[0	PRK14549	2e-06	31	45.7	13	78	1	66	69	50S ribosomal protein L29P	J	Translation, ribosomal structure and biogenesis
comp19685_c0_seq1_FPKM_all:4.608_FPKM_rel:4.608_len:934_path:[0	PRK10077	7e-24	28	106	129	309	10	204	479	D-xylose transporter XylE	G	Carbohydrate transport and metabolism
comp21573_c0_seq2_FPKM_all:3.105_FPKM_rel:3.105_len:330_path:[0	PRK00095	6e-05	24	40.6	3	109	169	272	617	DNA mismatch repair protein	L	Replication, recombination and repair
comp20939_c0_seq1_FPKM_all:2.964_FPKM_rel:2.964_len:530_path:[2	PRK14501	6e-48	45	184	1	175	124	291	726	putative bifunctional trehalose-6-phosphate synthase/HAD hydrolase subfamily IIB	G	Carbohydrate transport and metabolism
comp12149_c0_seq3_FPKM_all:10.154_FPKM_rel:8.631_len:740_path:[	PRK05306	4e-05	13	43.3	21	234	44	254	787	translation initiation factor IF-2	J	Translation, ribosomal structure and biogenesis
comp12158_c0_seq2_FPKM_all:6.684_FPKM_rel:3.379_len:2325_path:[	PRK11357	2e-04	20	43.3	207	536	38	344	445	putative fructoselysine transporter	E	Amino acid transport and metabolism
comp12977_c0_seq1_FPKM_all:8.665_FPKM_rel:8.665_len:1754_path:[	PRK03354	1e-26	25	116	88	455	5	375	380	crotonobetainyl-CoA dehydrogenase	I	Lipid transport and metabolism
comp31061_c0_seq1_FPKM_all:2.44_FPKM_rel:2.44_len:406_path:[0].	PRK07677	8e-25	39	106	11	114	1	104	252	short chain dehydrogenase	X	Multifunctional
comp30276_c0_seq1_FPKM_all:2.429_FPKM_rel:2.429_len:675_path:[0	PRK05590	2e-07	73	48.8	58	80	142	164	166	hypothetical protein	X	Multifunctional
comp31768_c0_seq2_FPKM_all:2.338_FPKM_rel:1.417_len:482_path:[0	PRK10911	2e-26	35	112	1	146	9	155	680	oligopeptidase A	E	Amino acid transport and metabolism
comp3369_c0_seq7_FPKM_all:53.999_FPKM_rel:14.16_len:2277_path:[	PRK04171	3e-28	31	121	104	314	1	216	222	ribosome biogenesis protein	S	Function unknown
comp3637_c0_seq1_FPKM_all:44.898_FPKM_rel:23.651_len:2985_path:	PRK10263	2e-06	29	49.3	268	444	666	843	1355	DNA translocase FtsK	D	Cell cycle control, cell division, chromosome partitioning
comp2047_c0_seq1_FPKM_all:94.574_FPKM_rel:94.574_len:3260_path:	PRK13222	5e-18	25	86.0	27	220	6	223	226	phosphoglycolate phosphatase	R	General function prediction only
comp2022_c0_seq2_FPKM_all:141.884_FPKM_rel:102.942_len:428_path	PRK12341	2e-05	33	42.0	10	72	316	378	381	putative acyl-CoA dehydrogenase	I	Lipid transport and metabolism
comp2583_c0_seq1_FPKM_all:74.47_FPKM_rel:37.772_len:4673_path:[	PRK12323	3e-05	18	46.4	758	902	450	609	700	DNA polymerase III subunits gamma and tau	L	Replication, recombination and repair
comp3729_c0_seq3_FPKM_all:56.784_FPKM_rel:28.318_len:1381_path:	PRK08264	2e-30	31	128	100	311	8	208	238	short chain dehydrogenase	X	Multifunctional
comp2864_c0_seq2_FPKM_all:73.346_FPKM_rel:59.208_len:1824_path:	PRK01766	1e-24	25	109	53	486	4	442	456	multidrug efflux protein	V	Defense mechanisms
comp2289_c0_seq1_FPKM_all:87.907_FPKM_rel:87.907_len:2886_path:	PRK10077	4e-53	25	204	125	578	7	478	479	D-xylose transporter XylE	G	Carbohydrate transport and metabolism
comp27211_c0_seq1_FPKM_all:2.746_FPKM_rel:2.746_len:311_path:[0	PRK13565	1e-30	51	125	5	103	213	311	490	anthranilate synthase component I	X	Multifunctional
comp26667_c0_seq1_FPKM_all:2.272_FPKM_rel:2.272_len:511_path:[0	PRK11033	2e-17	40	83.1	8	113	633	737	741	zinc/cadmium/mercury/lead-transporting ATPase	P	Inorganic ion transport and metabolism
comp26579_c0_seq1_FPKM_all:2.603_FPKM_rel:1.784_len:1168_path:[	PRK09358	1e-55	31	212	16	292	62	335	340	adenosine deaminase	F	Nucleotide transport and metabolism
comp28197_c0_seq1_FPKM_all:2.406_FPKM_rel:2.406_len:1292_path:[	PRK13184	2e-04	26	42.4	285	428	9	160	932	serine/threonine-protein kinase	X	Multifunctional
comp29442_c0_seq2_FPKM_all:2.614_FPKM_rel:2.178_len:392_path:[0	PRK09352	4e-21	58	94.4	1	53	267	319	319	3-oxoacyl-(acyl carrier protein) synthase III	I	Lipid transport and metabolism
comp17091_c0_seq3_FPKM_all:3.582_FPKM_rel:3.499_len:820_path:[0	PRK14552	2e-57	46	217	72	272	121	322	414	C/D box methylation guide ribonucleoprotein complex aNOP56 subunit	J	Translation, ribosomal structure and biogenesis
comp17492_c0_seq1_FPKM_all:4.22_FPKM_rel:4.22_len:1044_path:[0]	PRK01406	1e-137	47	484	1	345	56	404	476	glutamyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
